adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/k9C0JUBOlt1bzcqxFwHXNnL8X6q.jpg,[27],13550,en,The Changeling,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",10.388,/z4nTYj3JZ5jWAhDgrmEhW2GRAzb.jpg,1980-03-28,The Changeling,False,7.0,490
False,/xazdzH2BsKA1bXG0MUVxbyxDuL7.jpg,"[27, 878]",11815,en,The Fly,"Industrialist François Delambre is called late at night by his sister-in-law, Helene Delambre, who tells him that she has just killed her husband, André. Reluctant at first, she eventually explains to the police that André invented a matter transportation apparatus and, while experimenting on himself, a fly entered the chamber during the matter transference.",10.924,/kXdBcDh2EbgSIf4Oo1dxKapZM2f.jpg,1958-07-16,The Fly,False,7.0,447
False,/sRXMmeNHTSWRYdDz3zaHNyyPJ0u.jpg,"[35, 18, 10749]",7326,en,Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",16.008,/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,2007-12-05,Juno,False,7.0,6461
False,/wvR1rnlxc856JL02ScamIe7Jqc1.jpg,"[18, 10751]",293,en,A River Runs Through It,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",16.295,/rL4odYIaO0xcksUQ9qzRFfU6lH2.jpg,1992-10-09,A River Runs Through It,False,7.0,879
False,/fEI7I233M9hkw1MRSBXEgauXhRl.jpg,"[80, 18, 37]",82633,en,Lawless,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the operation; older Howard is the brawn, and younger Jack, the lookout. Though the local police have taken bribes and left the brothers alone, a violent war erupts when a sadistic lawman from Chicago arrives and tries to shut down the Bondurants operation.",22.149,/Ahtzwts22ayviD3LEVslfL4nRWB.jpg,2012-08-29,Lawless,False,7.0,2746
False,/hBwvoggQOzAODHRYInZA60qtR7h.jpg,"[18, 14, 53, 27]",16559,en,The Picture of Dorian Gray,"Posing for a portrait, Dorian Gray talks with Lord Henry Wotton, who says that men should pursue their sensual longings, but laments that only the young get to do so. Taken with the idea, Dorian imagines a scenario in which the painting will age as he stays youthful. His wish comes true, and his boyish looks aid him as he indulges his every whim. But when a stunning revelation forces him to see what he's become, Dorian faces some very dangerous questions.",11.732,/mfvcsmAzdie8YuWI0JpO2u1uzfF.jpg,1945-03-01,The Picture of Dorian Gray,False,7.0,211
False,/uGNsUtgq0chPio3Tk0htDQu6DyP.jpg,"[28, 80, 18]",11942,en,Bring Me the Head of Alfredo Garcia,An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,11.017,/gRWVf3InNlIlFT3WB9MnFdOwcYQ.jpg,1974-08-01,Bring Me the Head of Alfredo Garcia,False,7.0,301
False,/rOd0Vp2jGsbyH0YF9mxRDs3l9Ue.jpg,"[35, 18, 10749]",5767,en,Two for the Road,"The ten-year marriage of Mark and Joanna Wallace is on the rocks. In flashback they recall their first meeting, memorable moments in their courtship and early wedded life, their travels through Europe, their broken vow never to have children, and the increasing tensions that led to both of them having extra-marital affairs.",7.093,/f9GAaL5gXzSP8LhXJcAx8Remfy3.jpg,1967-04-27,Two for the Road,False,7.0,201
False,/OIGX2lm5tmlCKvZUghtwHzoxxO.jpg,"[28, 35, 14]",287947,en,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,107.569,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,2019-03-29,Shazam!,False,7.0,8255
False,/6AcvQvapwSI0fw2j9fVUxMOkwNB.jpg,"[28, 12, 80, 18, 53]",27725,en,High Sierra,"Given a pardon from jail, Roy Earle gets back into the swing of things as he robs a swanky resort.",6.772,/fkP6yy25Wja6Sn3AIlZ4F1BWsy0.jpg,1941-01-23,High Sierra,False,7.0,258
False,/llwusQFdHmHCWS7jySP2r6bbAIm.jpg,"[18, 53]",13580,en,The Spy Who Came in from the Cold,"British agent Alec Leamas refuses to come in from the Cold War during the 1960s, choosing to face another mission, which may prove to be his final one.",12.556,/xroW2SrAAHwnel6yazC99xRW9R2.jpg,1965-12-16,The Spy Who Came in from the Cold,False,7.0,232
False,/n7p6UTAZtkeoHkwCO42BEQaMFJY.jpg,"[18, 878, 12]",644,en,A.I. Artificial Intelligence,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",30.956,/8MZSGX5JORoO72EfuAEcejH5yHn.jpg,2001-06-29,A.I. Artificial Intelligence,False,7.0,5496
False,/6xJ2odkMFmO2LptVUBR8t8wBldQ.jpg,"[80, 53, 10749]",483,en,Wild at Heart,"After serving prison time for a self-defense killing, Sailor Ripley reunites with girlfriend Lula Fortune. Lula's mother, Marietta, desperate to keep them apart, hires a hitman to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru, an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.",9.405,/uLUFI5sJIfWrBUWB2Y1dEuyvvVy.jpg,1990-08-17,Wild at Heart,False,7.0,1368
False,,[35],525686,es,Mi Prima La Sexóloga,"A young man is afraid of asking for sex tips to his cousin, the sexologist.",22.695,/uWK3hKEHq0lfsKjgp07nQHuDqpO.jpg,2016-07-21,Mi Prima La Sexóloga,False,7.0,240
False,/jYqOnJDPI7QD9cGbE6CwDTp1tID.jpg,"[16, 28, 12]",251519,en,Son of Batman,"Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group known as The League of Assassins.",20.531,/yHx8OLSKc3VtIBB5lIe90c0fHOX.jpg,2014-05-13,Son of Batman,False,7.0,902
False,/84BujQW1M6gxncHBwQd6AFGYKoe.jpg,"[18, 35, 10749]",43347,en,Love & Other Drugs,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",53.336,/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg,2010-11-22,Love & Other Drugs,False,7.0,4479
False,/eDaGs1lhUIeo395sd73bDZpu5Ts.jpg,"[18, 28]",40751,cn,東邪西毒,"Ouyang Feng is a heartbroken and cynical man who spends his days in the desert, connecting expert swordsmen with those seeking revenge and willing to pay for it. Throughout five seasons in exile, Ouyang spins tales of his clients' unrequited loves and unusual acts of bravery.",11.661,/gTyfkSNWLf4Gp0YugNGl2TUrNeJ.jpg,1994-09-17,Ashes of Time,False,7.0,264
